CPU utilization for five seconds: 20%/5%; one minute: 14%; five minutes: 10%
 PID QTy       PC Runtime (ms)    Invoked   uSecs    Stacks TTY Process
 199 Mwe 41F77558            0          1       0 5568/6000   0 IPC ISSU Version
 200 Mwe 41F77558            0          1       0 5564/6000   0 IPC ISSU Version
 201 Mwe 41F77558            0          1       0 5564/6000   0 IPC ISSU Version
 202 Mwe 41F77558            0          1       0 5564/6000   0 IPC ISSU Version
 203 Mwe 41F77558            0          1       0 5564/6000   0 IPC ISSU Version
 204 Mwe 41F77558            0          1       0 5564/6000   0 IPC ISSU Version
 205 Mwe 41F77558            0          1       0 5564/6000   0 IPC ISSU Version
 206 Mwe 41F77558            0          1       0 5564/6000   0 IPC ISSU Version
 207 Mwe 41F77558            0          1       0 5564/6000   0 IPC ISSU Version
 208 Mwe 41F77558            0          1       0 5564/6000   0 IPC ISSU Version
 209 Mwe 41F77558            0          1       0 5564/6000   0 IPC ISSU Version
 210 Mwe 41F77558            0          1       0 5564/6000   0 IPC ISSU Version
 211 Mwe 41F77558            0          1       0 5564/6000   0 IPC ISSU Version
 212 Mwe 41F77558            0          1       0 5564/6000   0 IPC ISSU Version
 213 Mwe 41F77558            0          1       0 5564/6000   0 IPC ISSU Version
 214 Hwe 42CAEE8C            0          3       0 8452/9000   0 RPC rpc-slave-15
 215 Mwe 422D6818            0          1       0 5740/6000   0 Cat6k NTI RP Exa
 216 Hwe 42AF2B58           20        105     190 4740/6000   0 PF_Split Sync Pr
 217 Hwe 42CAEE8C            0         27       0 7920/9000   0 RPC pf-split-rp 
 218 Hwe 42CAEE8C           40         69     579 7396/9000   0 RPC idprom-MP   
 219 Mwe 4068CE20            0          1       0 5784/6000   0 BACK CHECK      
 220 Msp 423EC960       199868    5917348      33 5544/6000   0 Compute load avg
 221 Mwe 4042AB44            0          1       0 5584/6000   0 cpf_process_tpQ 
 222 Mwe 429388C8            0          1       0 5588/6000   0 IPC Apps Task   
 224 Mwe 42665F10            0          1       0 5580/6000   0 RTTYS Process   
 225 Mwe 42685034            0          1       011576/12000  0 RFS server proce
 226 Mwe 42020DC0            8         26     307 4552/6000   0 OBFL Cfg Dispatc
 227 Mwe 42B16EA4            0          1       0 5776/6000   0 PF Clock Process
 228 Mst 40CD0A4C            8      22847       0 5564/6000   0 Transport Port A
 229 Mwe 41D20290            0         12       0 4880/6000   0 AggMgr Process  
 230 Mwe 4250A4A8            0          2       0 5536/6000   0 CWAN ICC        
 231 Mwe 4118ABE0           60     153526       0 4220/6000   0 SFF8472         
 232 Mwe 4238CFDC            0          1       0 8596/9000   0 const_dump_info_
 233 Hwe 42526F90            0          1       0 5596/6000   0 POS APS Event Pr
 234 Lwe 425CC458            0          1       0 5616/6000   0 DSX3MIB ll handl
 235 Mwe 42847BAC            0          1       0 5748/6000   0 FPD Management P
 236 Mwe 42847E6C            0          1       0 5548/6000   0 FPD Action Proce
 237 Mwe 428548A8            0          2       0 5480/6000   0 const FPD ICC pr
 238 Mwe 42A80B98            0          1       0 5560/6000   0 Remote Console P
 239 Mwe 42AA1950            0          1       0 5580/6000   0 DIAG-RP-PROC    
 240 Mwe 42AA7868            0          1       0 5596/6000   0 DiagErrorLogProc
 241 Mwe 42C85430            0          1       0 4496/6000   0 dwdm RPC RP proc
 242 Mwe 42CD03F0            0          2       0 5400/6000   0 SEA_SCP_PRC     
 243 Hwe 42CC87EC            0          1       0 5572/6000   0 SCP async: LCP#5
 244 Mwe 42D5334C            0          2       0 5536/6000   0 CWAN ACD tasks  
 245 Mwe 430E1BA8            0          4       0 4920/6000   0 ACE_REQUESTS han
 246 Mrd 430D41B4       185428  919878730       022380/24000  0 ACE Tunnel Task 
 247 Mwe 430D948C        89304   59048265       123700/24000  0 ACE Config Prop 
 248 Mwe 430FA8D8            0          1       023576/24000  0 ACE VRF Task    
 249 Mwe 4248D6A0        17092   29519038       0 5568/6000   0 CWAN CHOCX PROCE
 250 Mwe 424A6798            0          1       0 5600/6000   0 HAL Mailbox     
 251 Mwe 424B5564        29184   29519037       0 5568/6000   0 CWAN CHDSX PROCE
 252 Mwe 424BF004            0          1       0 5412/6000   0 CT3 Mailbox     
 253 Mwe 424C6900            0          1       0 5588/6000   0 CE3 Mailbox     
 254 Mwe 424DB84C            0          2       0 5528/6000   0 MIP Mailbox     
 255 Mwe 4256741C            0          2       011480/12000  0 CWAN OIR Handler
 256 Mwe 427036A8            0          2       0 5232/6000   0 Earl NDE Task   
 257 Mwe 427139C8            0         13       0 4720/6000   0 MLS Stats Histor
 258 Mwe 4273F928     10900320   51113438     213 4688/6000   0 esw_vlan_stat_pr
 259 Mwe 42859F88            0          3       0 5516/6000   0 Gemini L3 forwar
 260 Mwe 42D63A5C            0          1       0 5592/6000   0 CWRP SPA ATM OIR
 261 Mwe 4304BEDC            0          1       0 5748/6000   0 ACE event       
 262 Hwe 4304BE34            0          1       0 5604/6000   0 ACE HAPI        
 263 Mwe 4305B4A8        12736    1967945       6 5656/6000   0 ACE policy loade
 264 Mwe 43098468           52         50    1040 3136/6000   0 CMFI RP process 
 265 Mwe 40103860          304       7042      43 5504/6000   0 AAA Server      
 266 Mwe 40106448          132       1332      99 5580/6000   0 AAA ACCT Proc   
 267 Mwe 40106650            0          1       0 5760/6000   0 ACCT Periodic Pr
 268 Mwe 401129E4            0          1       0 5564/6000   0 AAA System Acct 
 269 Mwe 402890A8            0          1       0 5752/6000   0 Auth-proxy AAA B
 270 Mwe 4028BF24           28      98466       0 5676/6000   0 IP Admin SM Proc
 271 Mwe 4041A880      2483952   25479974      9710552/12000  0 CDP Protocol    
 273 Mwe 41226EC0            0        147       0 5760/6000   0 SNMP Timers     
 274 Mwe 4042711C            4        816       411536/12000  0 CDP EXPORT PROCE
 275 Mwe 404BC678            0          2       0 5528/6000   0 AAA Dictionary R
 276 Lwe 40759EF8            0          2       011516/12000  0 CEF switching ba
 277 Mrd 409F3890     89996004 1145241408      78 9952/12000  0 IP Input        
 278 Mwe 40A0BEC8            0          1       0 5764/6000   0 ICMP event handl
 279 Mwe 40759EF8            0          4       011024/12000  0 ADJ resolve proc
 280 Mwe 40D025AC            0          1       0 5616/6000   0 PPCP RP Stats Ba
 281 Mwe 40D1DC44            0          1       0 5768/6000   0 IPv6 Echo event 
 282 Mwe 40F00FD4            0          2       011516/12000  0 PASVC create VA 
 284 Mwe 41057300            0          1       0 5756/6000   0 HDLC HA         
 285 Mwe 412B456C            0          2       0 5540/6000   0 Spanning Tree   
 286 Mwe 412B4478            0          2       0 5560/6000   0 SpanTree Msg    
 287 Hwe 41454774            0          5       0 7696/9000   0 EAPoUDP Process 
 288 Mwe 415BDA50            0          2       011536/12000  0 KRB5 AAA        
 289 Mwe 4166FB44            0          3       011512/12000  0 CTS CORE        
 290 Mwe 416DDCE0          200       1334     14911436/12000  0 SXP CORE        
 291 Cwe 41B2A844            0          1       0 5752/6000   0 LSP Tunnel FRR  
 292 Mwe 41B2FD8C            0          4       0 5452/6000   0 MPLS Auto-Tunnel
 293 Mwe 41B6B1C4            0          1       0 5568/6000   0 O-UNI Client Msg
 294 Mwe 41C44034           12        214      5611104/12000  0 SSM connection m
 295 Mwe 41CDD7D8            0         10       0 5268/6000   0 cv6 per prefix a
 296 Hwe 41D16054            0          2       0 5540/6000   0 REP Topology cha
 297 Mwe 41D369B0            0          1       0 5780/6000   0 AUTH POLICY Fram
 298 Mwe 41D37A24           52        255     20310716/12000  0 Auth Manager    
 299 Mwe 41D96164            0          2       0 5496/6000   0 CMD HANDLER     
 300 Mwe 41E4D82C            0          2       0 5528/6000   0 Dot1x Mgr Proces
 301 Mwe 41E63278            0          1       0 5752/6000   0 EAP Framework   
 302 Hwe 41E68FCC            0          2       011532/12000  0 Ethernet CFM    
 303 Hwe 41E69094        15808  177963846       011524/12000  0 Ethernet Timer C
 304 Hwe 41E69150       292624 3738544121       011528/12000  0 Ethernet Msec Ti
 305 Mwe 41EDFF00            0          2       011536/12000  0 Ethernet LMI    
 306 Mwe 4200670C            0          1       0 5760/6000   0 MAB Framework   
 307 Mwe 4216C594          212        261     812 4100/6000   0 SW VLAN RP      
 308 Mwe 423757EC           16          9    1777 5272/6000   0 const ipfib per-
 309 Mwe 42380D80            0          2       0 5536/6000   0 CFMPAL-RP Proces
 310 Mwe 423812D8            0          2       0 5512/6000   0 CFMPAL RPC Proce
 311 Mwe 423A3EB0            4          8     500 4508/6000   0 Const Rate Limit
 312 Mwe 42640D10            0          1       0 5752/6000   0 802.1x Webauth F
 314 Mwe 4275105C            0          2       0 8536/9000   0 Ethernet OAM Pro
 315 Hwe 4277B150            0          1       011760/12000  0 DMLP Counter    
 316 Mwe 428AC794         1680       4735     35454644/60000  0 HWIF QoS Process
 317 Mwe 42987834            0         71       0 4852/6000   0 MLS FIB RP      
 318 Mwe 429BE5C0            4          7     571 4724/6000   0 mcast_rp_icc Pro
 319 Mwe 42BFFCF0            0          2       0 5512/6000   0 QOS Stats Export
 320 Mwe 42C36F44     25017220   23614335    1059 4136/6000   0 QOS Stats Gather
 321 Mwe 42DF36F4            8        170      47 8456/9000   0 Switch IP Host T
 322 Mwe 42FFA6A8            0          1       011784/12000  0 SSS Manager     
 323 Mwe 4300E048            0          1       0 5592/6000   0 SSS Feature Mana
 324 Mwe 4300E150        15640  115389404       0 5688/6000   0 SSS Feature Time
 325 Mwe 43043C98            0          1       0 5592/6000   0 AC Switch       
 326 Mwe 40190AF0            0          1       0 5740/6000   0 ATM HA          
 327 Lwe 40759EF8        37236     592777      62 8720/12000  0 CEF background p
 328 Mwe 40C7F72C            0          1       0 8768/9000   0 IP IRDP         
 329 Mwe 40EBC5D4            0          1       0 5752/6000   0 PPP IP Add Route
 330 Mwe 402F60E0            0          1       0 5556/6000   0 BFD HA          
 331 Mwe 40C27290      1212808     501990    2416 6972/9000   0 IP Background   
 332 Mwe 40C2EEFC       759892     502691    1511 4384/9000   0 IP RIB Update   
 333 Mwe 41F7D408            0          1       0 5728/6000   0 IP Traceroute   
 334 Hwe 40CA12B4            0          1       0 5780/6000   0 Socket Timers   
 335 Mwe 40854748            0          1       0 5760/6000   0 FR HA           
