
Fri Oct  2 00:22:47.093 MSK
   PCB     VRF-ID     Recv-Q Send-Q  Local Address          Foreign Address
0x12133034 0x60000034      0      0  0.0.0.0:162            0.0.0.0:0             
0x12133894 0x60000035      0      0  0.0.0.0:162            0.0.0.0:0             
0x121223d4 0x60000036      0      0  0.0.0.0:162            0.0.0.0:0             
0x121241a8 0x60000037      0      0  0.0.0.0:162            0.0.0.0:0             
0x121211f4 0x60000038      0      0  0.0.0.0:162            0.0.0.0:0             
0x1208cd08 0x60000400      0      0  0.0.0.0:162            0.0.0.0:0             
0x1208c738 0x00000000      0      0  0.0.0.0:162            0.0.0.0:0             
0x12087a3c 0x00000000      0      0  0.0.0.0:0              0.0.0.0:0             
0x12088168 0x00000000      0      0  0.0.0.0:0              0.0.0.0:0             
0x1208462c 0x00000000      0      0  0.0.0.0:0              0.0.0.0:0             
0x12084264 0x00000000      0      0  0.0.0.0:0              0.0.0.0:0             
