
 Note: MAC table entries displayed are getting read from software.
 Use the 'hardware-age' keyword to get information related to 'Age' 

 Legend: 
        * - primary entry, G - Gateway MAC, (R) - Routed MAC, O - Overlay MAC
        age - seconds since last seen,+ - primary entry using vPC Peer-Link,
        (T) - True, (F) - False ,  ~~~ - use 'hardware-age' keyword to retrieve age info 
   VLAN     MAC Address      Type      age     Secure NTFY Ports/SWID.SSID.LID
---------+-----------------+--------+---------+------+----+------------------
* 586      506b.8dcf.ed31    dynamic     ~~~      F    F  Po71
* 586      506b.8dcf.f3c4    dynamic     ~~~      F    F  Po71
* 586      506b.8dd0.5139    dynamic     ~~~      F    F  Po71
* 586      506b.8dd1.271a    dynamic     ~~~      F    F  Po71
* 586      506b.8dd1.37d1    dynamic     ~~~      F    F  Po71
* 586      506b.8dd2.5ca6    dynamic     ~~~      F    F  Po71
* 586      506b.8dd4.2c6b    dynamic     ~~~      F    F  Po71
* 586      506b.8dd5.a006    dynamic     ~~~      F    F  Po71
* 586      506b.8dd5.a1dc    dynamic     ~~~      F    F  Po71
* 586      506b.8dd6.6142    dynamic     ~~~      F    F  Po71
* 586      506b.8dd6.73ee    dynamic     ~~~      F    F  Po71
* 586      506b.8dd7.959a    dynamic     ~~~      F    F  Po71
* 586      506b.8dd8.9348    dynamic     ~~~      F    F  Po71
* 586      506b.8dd8.9ebe    dynamic     ~~~      F    F  Po71
* 586      506b.8dd9.19cf    dynamic     ~~~      F    F  Po71
* 586      506b.8dd9.1ba1    dynamic     ~~~      F    F  Po71
* 586      506b.8ddb.2b62    dynamic     ~~~      F    F  Po71
* 586      506b.8ddc.3851    dynamic     ~~~      F    F  Po71
* 586      506b.8ddc.c5ef    dynamic     ~~~      F    F  Po71
* 586      506b.8ddc.d004    dynamic     ~~~      F    F  Po71
* 586      506b.8ddc.e8bd    dynamic     ~~~      F    F  Po71
* 586      506b.8ddd.6fcf    dynamic     ~~~      F    F  Po71
* 586      506b.8dde.829a    dynamic     ~~~      F    F  Po71
* 586      506b.8ddf.3438    dynamic     ~~~      F    F  Po71
* 586      506b.8ddf.9db1    dynamic     ~~~      F    F  Po71
* 586      506b.8ddf.c3cf    dynamic     ~~~      F    F  Po71
* 586      506b.8de0.5494    dynamic     ~~~      F    F  Po71
* 586      506b.8de1.4f64    dynamic     ~~~      F    F  Po71
* 586      506b.8de2.2f96    dynamic     ~~~      F    F  Po71
* 586      506b.8de2.3bcd    dynamic     ~~~      F    F  Po71
* 586      506b.8de3.f355    dynamic     ~~~      F    F  Po71
* 586      506b.8de3.f4fb    dynamic     ~~~      F    F  Po71
* 586      506b.8de5.0c9d    dynamic     ~~~      F    F  Po71
* 586      506b.8de7.6644    dynamic     ~~~      F    F  Po71
* 586      506b.8de7.8445    dynamic     ~~~      F    F  Po71
* 586      506b.8de8.097b    dynamic     ~~~      F    F  Po71
* 586      506b.8de9.82d1    dynamic     ~~~      F    F  Po71
* 586      506b.8dea.9820    dynamic     ~~~      F    F  Po71
* 586      506b.8deb.2b30    dynamic     ~~~      F    F  Po71
* 586      506b.8deb.4fa9    dynamic     ~~~      F    F  Po71
* 586      506b.8deb.a4bf    dynamic     ~~~      F    F  Po71
* 586      506b.8dec.24ca    dynamic     ~~~      F    F  Po71
